gene	transcript	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
SYNGAP1	ENST00000418600	351	7.9597e+02	4.4097e-01	5.3689e-05	8688	128	3.4734e+02	3.6852e-01	3803	287	3.2492e+02	8.8329e-01	2.0322e-05	2808	0	3.4989e-06	625	5.6543e+01	1.0000e+00	3.3382e-23	1.1691e-09	0.0000e+00	8.0100e-01	9.7400e-01	4.0300e-01	4.8200e-01	0.0000e+00	5.2000e-02		1.6537e+00	5.6047e+00	6.9680e+00	18	0	0	2	7.9647e-06	3.9832e-06	125740	2	0	125742	7.9528e-06	7.9529e-06	0.0000e+00	2.8939e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.8056e-06	0.0000e+00	0.0000e+00	0.0000e+00	2.8911e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.7903e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000197283	2	4029	19	protein_coding	33620	1.0000e+00	1	4.1449e+01	2.4126e-02	NA	6	33387847	33421466
GLTSCR1L	ENST00000314073	446	5.7961e+02	7.6949e-01	3.0226e-05	7106	133	1.9709e+02	6.7481e-01	2543	222	2.2752e+02	9.7575e-01	1.3490e-05	2180	0	2.1477e-06	468	4.1749e+01	1.0000e+00	2.3803e-17	2.9565e-07	0.0000e+00	8.7400e-01	1.0910e+00	7.1100e-01	8.3200e-01	0.0000e+00	7.1000e-02		2.8753e-01	1.9721e+00	5.9875e+00	59	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000112624	2	3237	11	protein_coding	86534	9.9992e-01	0	2.6434e+01	0.0000e+00	NA	6	42749765	42836298
HIVEP2	ENST00000367603	1129	1.3157e+03	8.5807e-01	7.3858e-05	16010	317	5.1663e+02	6.1359e-01	6391	547	5.1968e+02	1.0526e+00	3.1853e-05	4889	2	4.3235e-06	1068	7.8827e+01	1.0000e+00	6.4328e-30	7.5996e-12	2.5372e-02	9.8100e-01	1.1300e+00	8.1600e-01	9.0100e-01	9.0000e-03	8.0000e-02		-9.4211e-01	1.8295e+00	8.0185e+00	97	0	0	5	2.8153e-05	1.2066e-05	124789	7	0	124796	2.8046e-05	9.8163e-05	1.3012e-04	0.0000e+00	0.0000e+00	0.0000e+00	4.6391e-05	3.5417e-05	0.0000e+00	0.0000e+00	1.2912e-04	0.0000e+00	0.0000e+00	0.0000e+00	4.6379e-05	3.5306e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000010818	3	7338	6	protein_coding	193735	1.0000e+00	1	4.5540e+01	2.1959e-02	NA	6	143072604	143266338
DAAM2	ENST00000398904	535	6.2448e+02	8.5671e-01	3.9115e-05	6977	267	3.2450e+02	8.2281e-01	3792	222	2.3763e+02	9.3424e-01	1.3460e-05	2031	1	2.4078e-06	610	5.0435e+01	1.0000e+00	9.7853e-20	5.9715e-08	1.9827e-02	8.3700e-01	1.0440e+00	7.9700e-01	9.2000e-01	6.0000e-03	9.4000e-02		7.9687e-01	1.2724e+00	6.4504e+00	165	0	0	3	1.2103e-05	4.0424e-06	124140	3	0	124143	1.2083e-05	1.8124e-05	6.4918e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7787e-05	0.0000e+00	0.0000e+00	6.4803e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.7775e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000146122	2	3204	24	protein_coding	112507	9.9829e-01	3	3.1525e+01	9.5163e-02	NA	6	39760142	39872648
DLL1	ENST00000366756	335	4.4246e+02	7.5713e-01	2.9589e-05	4677	70	1.4221e+02	4.9222e-01	1591	239	1.9476e+02	1.2271e+00	1.4954e-05	1397	0	1.5555e-06	367	3.1510e+01	9.9999e-01	2.6777e-13	1.3612e-05	0.0000e+00	1.1030e+00	1.3660e+00	6.9200e-01	8.2900e-01	0.0000e+00	9.5000e-02		-2.4919e+00	1.8154e+00	5.2016e+00	170	0	0	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000198719	2	2169	11	protein_coding	8268	9.9905e-01	0	1.9885e+01	0.0000e+00	NA	6	170591294	170599561
SCAF8	ENST00000367178	560	7.0150e+02	7.9829e-01	3.6851e-05	8245	164	2.1965e+02	7.4663e-01	2540	293	2.4132e+02	1.2142e+00	1.2721e-05	2570	2	3.8333e-06	709	6.5534e+01	1.0000e+00	1.1684e-24	1.0962e-09	3.0519e-02	1.1030e+00	1.3370e+00	7.4400e-01	8.5600e-01	1.1000e-02	9.6000e-02		-2.6153e+00	1.8985e+00	7.2726e+00	178	0	0	3	1.1993e-05	4.0089e-06	125556	3	0	125559	1.1947e-05	1.7920e-05	0.0000e+00	2.8927e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.9177e-06	0.0000e+00	3.2690e-05	0.0000e+00	2.8921e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.8148e-06	0.0000e+00	3.2663e-05	protein_coding	ENSG00000213079	2	3813	20	protein_coding	100734	1.0000e+00	0	4.8557e+01	0.0000e+00	NA	6	155054459	155155192
TAB2	ENST00000367456	272	3.5787e+02	7.6006e-01	1.8964e-05	4555	82	1.4734e+02	5.5655e-01	1787	136	1.2283e+02	1.1072e+00	6.1120e-06	1381	0	2.1607e-06	308	3.0412e+01	9.9998e-01	7.2802e-13	2.0523e-05	0.0000e+00	9.6200e-01	1.2770e+00	6.8800e-01	8.4000e-01	0.0000e+00	9.8000e-02		-9.3423e-01	1.6130e+00	5.1102e+00	191	0	0	3	1.1949e-05	3.9955e-06	125742	3	0	125745	1.1929e-05	1.7894e-05	0.0000e+00	0.0000e+00	0.0000e+00	5.4366e-05	0.0000e+00	8.7912e-06	1.6420e-04	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.4367e-05	0.0000e+00	8.7902e-06	1.6288e-04	0.0000e+00	protein_coding	ENSG00000055208	2	2079	6	protein_coding	192973	9.9976e-01	0	2.3535e+01	0.0000e+00	NA	6	149539777	149732749
HDAC2	ENST00000519065	79	2.6436e+02	2.9884e-01	1.3102e-05	3217	11	8.1454e+01	1.3504e-01	996	70	8.4972e+01	8.2380e-01	4.0419e-06	837	0	1.5193e-06	401	2.9697e+01	9.9997e-01	1.3961e-12	2.6812e-05	0.0000e+00	6.7800e-01	1.0050e+00	2.4800e-01	3.6000e-01	0.0000e+00	1.0000e-01		1.2768e+00	4.0512e+00	5.0498e+00	202	0	0	1	4.0368e-06	4.0368e-06	123860	1	0	123861	4.0368e-06	2.0184e-06	0.0000e+00	0.0000e+00	0.0000e+00	5.5797e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.5799e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000196591	2	1464	14	protein_coding	78281	9.9939e-01	0	2.1065e+01	0.0000e+00	NA	6	114254192	114332472
ARID1B	ENST00000346085	961	1.2145e+03	7.9124e-01	7.0843e-05	14685	429	6.2959e+02	6.8140e-01	7099	507	5.0358e+02	1.0068e+00	3.4894e-05	4450	4	4.8142e-06	980	9.0099e+01	1.0000e+00	2.8170e-32	3.0356e-12	4.4396e-02	9.3500e-01	1.0840e+00	7.5000e-01	8.3500e-01	2.1000e-02	1.0200e-01		-1.1981e-01	2.5854e+00	8.4054e+00	213	0	0	7	3.2194e-05	7.9570e-06	125742	6	0	125748	2.3858e-05	7.1573e-05	0.0000e+00	6.2611e-05	0.0000e+00	0.0000e+00	0.0000e+00	5.2889e-05	0.0000e+00	0.0000e+00	0.0000e+00	5.7819e-05	0.0000e+00	0.0000e+00	0.0000e+00	3.5159e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000049618	2	6747	20	protein_coding	432851	9.9995e-01	6	5.4204e+01	1.1069e-01	NA	6	157099063	157531913
PHIP	ENST00000275034	508	9.5493e+02	5.3198e-01	4.9683e-05	11924	162	4.7160e+02	3.4351e-01	5877	308	3.1469e+02	9.7873e-01	1.5764e-05	3388	6	6.0767e-06	1255	1.0459e+02	1.0000e+00	6.5738e-36	3.6386e-13	5.7367e-02	8.9100e-01	1.0760e+00	4.9400e-01	5.7200e-01	3.0000e-02	1.1300e-01		2.9665e-01	5.1395e+00	8.9332e+00	276	0	0	11	4.9113e-05	8.2804e-06	125732	12	0	125744	4.7717e-05	2.8631e-04	0.0000e+00	2.8969e-05	1.0004e-04	5.4443e-05	4.6211e-05	7.2454e-05	0.0000e+00	0.0000e+00	0.0000e+00	2.8909e-05	9.9211e-05	5.4367e-05	4.6195e-05	7.0325e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000146247	2	5463	40	protein_coding	142370	1.0000e+00	8	8.1377e+01	9.8308e-02	NA	6	79645584	79787953
